Input List,Area AVG,RG AVG,RDF Peak
"[(1, 'E9'), (2, 'S9'), (3, 'E9'), (4, 'S9'), (5, 'E9'), (6, 'E9'), (7, 'E9'), (8, 'S9'), (9, 'S6'), (10, 'E1'), (11, 'E1'), (12, 'E3'), (13, 'S2'), (14, 'S2'), (15, 'S1'), (16, 'S1'), (17, 'S1'), (18, 'E5'), (19, 'S1'), (20, 'S1')]",14397.02,17.3603,1.919
"[(1, 'S9'), (2, 'S3'), (3, 'E4'), (4, 'S2'), (5, 'E4'), (6, 'E5'), (7, 'S8'), (8, 'E4'), (9, 'E6'), (10, 'E2'), (11, 'S6'), (12, 'S1'), (13, 'S4'), (14, 'E1'), (15, 'S3'), (16, 'S1'), (17, 'E9'), (18, 'E6'), (19, 'S4'), (20, 'S6')]",14303.57,18.2123,1.83
"[(1, 'S9'), (2, 'E9'), (3, 'E9'), (4, 'E9'), (5, 'E9'), (6, 'E9'), (7, 'S9'), (8, 'S1'), (9, 'S4'), (10, 'S4'), (11, 'S4'), (12, 'S7'), (13, 'E3'), (14, 'E8'),(15, 'E2'), (16, 'E2'),(17, 'S2'), (18, 'E3'),(19, 'S1'), (20, 'S5')]",17783.09,18.4372,1.895
"[(1, 'S9'), (2, 'S9'), (3, 'S3'), (4, 'S7'), (5, 'E9'), (6, 'S3'), (7, 'E4'), (8, 'E3'), (9, 'E1'), (10, 'S2'), (11, 'S1'), (12, 'S1'), (13, 'S1'), (14, 'S6'), (15, 'S4'), (16, 'S3'), (17, 'E3'), (18, 'E2'), (19, 'E1'), (20, 'E2')]",15219.96,18.3199,1.753
"[(1, 'E4'), (2, 'E4'), (3, 'E4'), (4, 'E4'), (5, 'E4'), (6, 'S5'), (7, 'S5'), (8, 'S5'), (9, 'S5'), (10, 'S5'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'E4'), (17, 'E4'), (18, 'E4'), (19, 'E4'), (20, 'E4')]",15999.02,17.567,1.768
"[(1, 'E9'), (2, 'S9'), (3, 'E9'), (4, 'S9'), (5, 'E9'), (6, 'E9'), (7, 'E9'), (8, 'E9'), (9, 'E9'), (10, 'E9'), (11, 'S7'), (12, 'E3'), (13, 'E4'), (14, 'S3'), (15, 'E6'), (16, 'S9'), (17, 'S1'), (18, 'S3'), (19, 'E3'), (20, 'S1')]",18106.2,19.9225,1.857
"[(1, 'S9'), (2, 'E9'), (3, 'E9'), (4, 'S9'), (5, 'E9'), (6, 'S8'), (7, 'S5'), (8, 'E1'), (9, 'S5'), (10, 'E1'), (11, 'E1'), (12, 'E5'), (13, 'E1'), (14, 'E1'), (15, 'S5'), (16, 'E1'), (17, 'S5'), (18, 'E1'), (19, 'E1'), (20, 'E5')]",16706.49,18.6367,1.798
"[(1, 'E9'), (2, 'E4'), (3, 'E8'), (4, 'E8'), (5, 'E3'), (6, 'E1'), (7, 'E6'), (8, 'E6'), (9, 'E2'), (10, 'E7'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S3'), (20, 'S1')]",13994.81,18.9085,1.862
"[(1, 'E5'), (2, 'E3'), (3, 'E2'), (4, 'E3'), (5, 'E5'), (6, 'E6'), (7, 'E8'), (8, 'E6'), (9, 'E1'), (10, 'E8'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S2')]",14106.31,18.7161,1.841
"[(1, 'E3'), (2, 'E7'), (3, 'E9'), (4, 'E5'), (5, 'E8'), (6, 'E8'), (7, 'E4'), (8, 'E8'), (9, 'E2'), (10, 'E6'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S1')]",15332.12,18.8263,1.888
